model,acc_mean,acc_std,f1_macro_mean,f1_macro_std
VGG16,0.744943820224719,0.010956434356012413,0.7591552911344853,0.01091288909028226
ResNet50,0.7698377028714107,0.010192986325674912,0.7800535887443645,0.010182348174046214
MobileNetV3_Small,0.7025218476903872,0.011724807351628952,0.6855441468108231,0.013959058455778845
MobilePlantViT,0.7529962546816479,0.010428206586011854,0.7856496006763554,0.009232019410272478
ShuffleNetV2,0.7203620474406992,0.010230723261850547,0.7425726037481636,0.011286345011741033
SqueezeNet,0.7085268414481897,0.010325439598741461,0.7117413244965677,0.011223946717740307
DenseNet121,0.7826841448189764,0.008662955442393067,0.7846324464653778,0.00899892360659468
